OperatorId,Title,HighestDegree,Employer,UserYearId
102,,PhD,"Mraz, Quigley and Veum",102
103,,,"Russel, Kulas and Spencer",103
104,Nurse,,,104
105,,Masters,,105
106,Senior Editor,,,106
107,Product Engineer,,,107
108,Help Desk Technician,,"Casper, Hegmann and Conn",108
109,,Doctorate,Walker LLC,109
110,Chemical Engineer,,,110
111,Cost Accountant,Doctorate,,111
112,VP Sales,,,112
113,GIS Technical Architect,,Rath and Sons,113
114,,Bachelors,Becker LLC,114
115,,PhD,,115
116,Structural Analysis Engineer,Doctorate,,116
117,Assistant Manager,Doctorate,,117
118,Community Outreach Specialist,,"Greenfelder, Bayer and Christiansen",118
119,,Bachelors,,119
120,,,,120
121,Mechanical Systems Engineer,Masters,,121
122,Cost Accountant,Masters,Breitenberg Inc,122
123,Recruiter,Bachelors,,123
124,,Masters,,124
125,Tax Accountant,Doctorate,Quigley-Lemke,125
126,GIS Technical Architect,Masters,Bruen LLC,126
127,Editor,,,127
128,Geologist I,Masters,,128
129,Staff Accountant IV,,,129
130,,,,130
131,,,,131
132,Junior Executive,,,132
133,GIS Technical Architect,Doctorate,,133
134,Food Chemist,,,134
135,,,,135
136,,,"Marquardt, Jones and Pfeffer",136
137,,PhD,,137
138,Marketing Manager,,,138
139,Research Associate,,,139
140,Help Desk Technician,Masters,,140
141,Environmental Specialist,Masters,,141
142,Quality Control Specialist,,,142
143,Research Assistant IV,Masters,,143
144,Chief Design Engineer,,,144
145,Pharmacist,PhD,,145
146,Junior Executive,PhD,,146
147,Food Chemist,Bachelors,,147
148,,,,148
149,Nurse,Doctorate,"Rau, Pagac and Rowe",149
150,,Doctorate,,150
151,Recruiting Manager,Masters,,151
152,Clinical Specialist,,,152
153,Registered Nurse,Bachelors,,153
154,Librarian,,Nikolaus-Koepp,154
155,Programmer Analyst II,,,155
156,Occupational Therapist,,,156
157,Cost Accountant,,,157
158,,PhD,,158
159,,,,159
160,Software Engineer II,Doctorate,"O'Reilly, Klein and Predovic",160
161,,,,161
162,Financial Advisor,Masters,,162
163,,Bachelors,Mosciski-Stracke,163
164,Systems Administrator IV,,Hammes-Bruen,164
165,Sales Associate,PhD,,165
166,Senior Sales Associate,,,166
167,Actuary,,,167
168,,,,168
169,,,,169
170,VP Sales,Masters,,170
171,,,,171
172,,Doctorate,Satterfield and Sons,172
173,Recruiting Manager,PhD,"Haag, Gerlach and Stanton",173
174,Project Manager,PhD,,174
175,Analyst Programmer,Masters,,175
176,,,,176
177,Research Nurse,,Vandervort Group,177
178,,PhD,,178
179,,Doctorate,,179
180,Programmer I,,,180
181,Cost Accountant,,,181
182,Account Coordinator,Doctorate,,182
183,Food Chemist,PhD,,183
184,,,,184
185,Editor,Doctorate,,185
186,,PhD,,186
187,Executive Secretary,Masters,Franecki-Jacobson,187
188,Community Outreach Specialist,Masters,,188
189,Senior Developer,,,189
190,Biostatistician II,Bachelors,,190
191,,Doctorate,,191
192,Tax Accountant,,,192
193,,,,193
194,Help Desk Operator,Masters,,194
195,,,,195
196,Social Worker,Bachelors,,196
197,Dental Hygienist,Doctorate,"Ankunding, Gutmann and Hahn",197
198,Software Consultant,,,198
199,,,,199
200,,,,200
201,Staff Scientist,,,201
202,,,,202
203,Junior Executive,,,203
204,Clinical Specialist,PhD,,204
205,,Masters,,205
206,General Manager,,"Von, Pouros and Hudson",206
207,,,,207
208,,Bachelors,,208
209,Software Engineer IV,,,209
210,Senior Editor,,,210
211,,Bachelors,,211
212,Research Nurse,PhD,,212
213,Research Assistant I,Doctorate,,213
214,Research Nurse,,,214
215,Speech Pathologist,,Baumbach LLC,215
216,,,,216
217,Editor,,,217
218,Internal Auditor,,,218
219,Research Nurse,,,219
220,,,Keebler-Reichel,220
221,,PhD,,221
222,Web Designer I,Masters,Howell-Borer,222
223,Speech Pathologist,,Reichert-Padberg,223
224,Safety Technician II,PhD,,224
225,Research Assistant II,,,225
226,,,,226
227,,,,227
228,Payment Adjustment Coordinator,,,228
229,VP Accounting,,,229
230,Operator,,,230
231,,,,231
232,Engineer III,,,232
233,Editor,,,233
234,,,,234
235,,,,235
236,Marketing Assistant,PhD,"Cormier, Herzog and Runte",236
237,Budget/Accounting Analyst I,Masters,,237
238,,PhD,,238
239,Dental Hygienist,,,239
240,,,,240
241,Clinical Specialist,,,241
242,,,O'Connell-Davis,242
243,Senior Developer,Doctorate,,243
244,,,,244
245,,,,245
246,Quality Control Specialist,Doctorate,,246
247,General Manager,,,247
248,,,"Bartell, Hayes and Ankunding",248
249,Clinical Specialist,,Runolfsson Group,249
250,,,,250
251,,,Senger Group,251
252,VP Accounting,Doctorate,,252
253,,Bachelors,,253
254,Quality Engineer,,,254
255,,,"Brakus, Weimann and Veum",255
256,Web Designer IV,,,256
257,Financial Analyst,,Nader-King,257
258,,Doctorate,Walter Group,258
259,Tax Accountant,PhD,,259
260,Assistant Professor,PhD,Hoppe-Ortiz,260
261,Actuary,,,261
262,Physical Therapy Assistant,Bachelors,Prosacco-Wehner,262
263,,,King-Crist,263
264,,PhD,,264
265,,Bachelors,,265
266,Computer Systems Analyst III,Masters,,266
267,Quality Control Specialist,PhD,,267
268,Software Consultant,PhD,Ruecker-Klocko,268
269,,Bachelors,,269
270,,,,270
271,,,,271
272,Senior Developer,,,272
273,Tax Accountant,,,273
274,Geological Engineer,,,274
275,Actuary,,Lang and Sons,275
276,,,,276
277,Physical Therapy Assistant,,,277
278,Data Coordiator,,,278
279,,,"Leannon, Murphy and Purdy",279
280,,,,280
281,,Bachelors,Keebler and Sons,281
282,Executive Secretary,,"Schoen, Paucek and Durgan",282
283,,Masters,Gaylord Group,283
284,Geological Engineer,,"McClure, Schiller and Corwin",284
285,Legal Assistant,,"Kohler, Gleason and McDermott",285
286,,,,286
287,Nurse,Doctorate,,287
288,Structural Analysis Engineer,,Feil-Jast,288
289,Registered Nurse,,"Rowe, Purdy and Cummings",289
290,,Bachelors,Heller LLC,290
291,Senior Sales Associate,Masters,,291
292,Automation Specialist IV,,,292
293,Actuary,Masters,,293
294,Dental Hygienist,,,294
295,,,,295
296,Web Developer II,,,296
297,,Doctorate,,297
298,,,,298
299,Product Engineer,,,299
300,Civil Engineer,Doctorate,,300
301,,,,301
302,,,,302
